URL,Date,Type d'URL,Type d'acteurs,Thème,Position,Poids,Lu,Position/IVG,Notes
http://www.lesnouvellesnews.fr/ivg-bas-les-masques/,01/12/2016,Article,Média,Droit à l'IVG,Pour l'extension du délit d'entrave,Moyen,Non,Pour,Editorial
https://twitter.com/LesNNews/status/804610824069332992,02/12/2016,Tweet,Média,Droit à l'IVG,Pour l'extension du délit d'entrave,Moyen,Oui,Pour,
https://twitter.com/Lilyeuhh/status/804586236195258368,01/12/2016,Tweet,Particulier,Droit à l'IVG,Pour l'extension du délit d'entrave,Faible,Oui,Pour,
https://www.youtube.com/watch?v=mgl6E47QcbA,27/01/2017,Youtube,Instance politique,Infantilisation des femmes,Contre l'extension du délit d'entrave,Fort,Oui,Pour,Discours de Marion Maréchal-Lepen
http://www.lefigaro.fr/vox/societe/2016/12/02/31003-20161202ARTFIG00213-le-dessin-d-ixene-le-gouvernement-cree-le-delit-d-entrave-a-l-ivg.php,02/12/2016,Article,Média,Liberté d'expression,Contre l'extension du délit d'entrave,Fort,Oui,Pour,Caricature du dessinateur Ixène
http://www.lefigaro.fr/actualite-france/2016/11/29/01016-20161129ARTFIG00172-la-colere-des-eveques-contre-la-creation-d-un-delit-d-entrave-numerique-a-l-ivg.php,29/11/2016,Article,Religieux,Liberté d'expression,Contre l'extension du délit d'entrave,Fort,Oui,Contre,
https://www.youtube.com/watch?v=JXkqUwYaMxs,27/09/2016,Youtube,Militante féministe,Droit à l'IVG,Pour l'extension du délit d'entrave,Moyen,Oui,Pour,
https://www.fondationlejeune.org/delit-d-entrave-mme-rossignol-desinforme-sur-l-interruption-medicale-de-grossesse/#.WECpFMTKYwo.twitter,01/12/2016,Artice,Association,Liberté d'expression,Contre l'extension du délit d'entrave,Moyen,Oui,Contre,
https://www.bellica.fr/le-delit-dentrave-numerique-terriblement-infantilisant-pour-les-femmes-selon-nicolas-garderes,07/12/2016,Article,Militante féministe,Infantilisation des femmes,Contre l'extension du délit d'entrave,Moyen,Oui,Pour,
https://francais.rt.com/france/29980-delit-entrave-ivg-intenet-assemblee,01/12/2016,Article,Instance politique,Liberté d'expression,Contre l'extension du délit d'entrave,Moyen,Non,Pour,
https://youtu.be/X5h13Mcxt50,01/12/2016,Youtube,Instance politique,Liberté d'expression,Contre l'extension du délit d'entrave,Fort,Oui,Pour,
